Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031824123,       3917302,         25476,+41.5912769,-087.8001428
17031824300,       4022883,             0,+41.6413257,-087.6992633
17031824400,       3129449,             0,+41.6399612,-087.7262117
17031824503,      12284865,        144950,+41.6359574,-087.7819898
17031824505,       2703723,             0,+41.6080771,-087.7686415
17031824506,       6536661,             0,+41.6174198,-087.7826943
17031824507,       5143006,          5375,+41.5953420,-087.7733591
17031824601,       3409575,             0,+41.6286651,-087.7449388
17031824602,       3606404,             0,+41.6174072,-087.7385010
17031824701,       1734810,             0,+41.6281704,-087.7186498
17031824702,       2202626,             0,+41.6219897,-087.7084844
17031824800,       4615886,             0,+41.6245178,-087.6852795
17031824900,       5563979,             0,+41.6094894,-087.6976743
17031825000,       5852463,        141502,+41.6023636,-087.7397864
17031825200,       2363329,         22317,+41.5969006,-087.7302035
17031825302,       5837555,             0,+41.5811669,-087.7574057
17031825303,       1920068,             0,+41.5816342,-087.7858543
17031825304,       2336880,             0,+41.5736080,-087.8039830
17031825400,       7421898,         27586,+41.5652514,-087.7775704
17031825501,       6026982,             0,+41.5784583,-087.7170864
17031825503,       5084476,         36159,+41.5704916,-087.6829708
17031825504,       2616952,             0,+41.5644163,-087.7040255
17031825505,       5167417,         36262,+41.5635098,-087.7316996
17031825600,       6250222,             0,+41.5930056,-087.6979140
17031825700,       4834653,        222953,+41.6394802,-087.5449604
17031825801,       2446860,        192553,+41.6347559,-087.5729716
17031825802,       1497069,             0,+41.6263798,-087.5600589
17031825803,       1745913,             0,+41.6192449,-087.5620435
17031825900,       1612686,             0,+41.6216960,-087.5423652
17031826000,       1968428,             0,+41.6239270,-087.5323610
17031826100,       3529987,        108623,+41.6083943,-087.5359016
17031826201,       6037549,         22050,+41.6048907,-087.5642120
17031826202,       2167298,             0,+41.5931681,-087.5363701
17031826301,       2464170,             0,+41.6152862,-087.6064900
17031826303,       1560655,             0,+41.6134074,-087.5914302
17031826304,       1264300,          7638,+41.6181611,-087.5822761
17031826401,       3002565,        246111,+41.6389607,-087.5930136
17031826402,       2020308,             0,+41.6280580,-087.5901088
17031826500,       3534626,         57240,+41.6319154,-087.6156118
